image_id,variant,,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2,delta_R,delta_G,delta_B
158548,advlogo_eps0.9_iter18,18,0.212121212,0,0.99143463,42.33975273,0.998588741,0.998630702,0.022229042,0.010620236,221347,0.006020579,0.00294347,0.002944974,0.002968038
176606,advlogo_eps0.9_iter8,8,0.4,0,0.99629927,47.17137057,0.999618888,0.999008775,0.009664916,0.001533628,112873,0.002327933,0.001103204,0.001099635,0.001112144
559956,advlogo_eps0.9_iter12,12,0.142857143,0,0.987408,43.52424048,0.998285711,0.998702943,0.07214959,0.006397367,370581,0.008631782,0.004340576,0.004305525,0.004382682
11197,advlogo_eps0.9_iter25,25,0.386363636,0,0.9821302,41.33427706,0.997284412,0.997750878,0.061543647,0.012916028,321893,0.008560676,0.004165194,0.004200341,0.004244555
483667,advlogo_eps0.9_iter9,9,0.25,0,0.986255,46.73691676,0.998041987,0.99880749,0.075771272,0.0121786,307438,0.005394119,0.002619576,0.002593753,0.00262842
448810,advlogo_eps0.9_iter3,3,1,0,0.9973526,52.41563311,0.999693155,0.999726713,0.009178665,0.012220144,68948,0.001140488,0.000518381,0.000519139,0.000537021
375278,advlogo_eps0.9_iter2,2,0.214285714,0,0.9974549,53.28790032,0.999674916,0.999790907,0.024087045,0.003478765,140895,0.001945924,0.000880401,0.000889152,0.00090693
465675,advlogo_eps0.9_iter3,3,0.272727273,0,0.9974151,51.79229844,0.999682307,0.999786198,0.018384166,0.00395453,85390,0.001541484,0.000742342,0.000745129,0.000743702
21167,advlogo_eps0.9_iter6,6,0.2,0,0.9900806,48.36058176,0.998650074,0.999094725,0.100879945,0.01452297,253730,0.004136905,0.001985088,0.001981105,0.001988573
148730,advlogo_eps0.9_iter2,2,0.272727273,0,0.99795324,53.73377604,0.99968183,0.999886394,0.008569056,0.001068473,57091,0.000947186,0.000447104,0.000443246,0.000454431
384468,advlogo_eps0.9_iter26,26,0.345454545,0,0.976466,40.55190429,0.996383429,0.997115552,0.085705623,0.019738317,376442,0.011121856,0.00556457,0.005430466,0.00569406
253742,advlogo_eps0.9_iter49,49,0.175757576,0,0.9723312,36.59137731,0.996035933,0.993676841,0.056656443,0.009886742,385079,0.015955033,0.008082024,0.007989606,0.008083861
186873,advlogo_eps0.9_iter6,6,0.857954545,0,0.99716634,47.55005181,0.999649644,0.999253333,0.013293401,0.004291177,117585,0.002621685,0.001269205,0.001265576,0.001284715
