image_id,variant,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2,delta_R,delta_G,delta_B
397133,advlogo_eps0.9_iter43,0.42045454545454547,0.0,0.97154826,42.5344251936989,0.9962155818939209,0.9994282126426697,0.10214293003082275,0.018414318561553955,606884,0.010005126,0.005077233538031578,0.005036110989749432,0.0050889612175524235
37777,advlogo_eps0.9_iter14,0.5000000000000001,0.0,0.986989,47.04407483643048,0.998405933380127,0.9996195435523987,0.19890230894088745,0.011317610740661621,480328,0.0053852797,0.002643558196723461,0.0026481947861611843,0.0026625427417457104
252219,advlogo_eps0.9_iter106,0.3333333333333334,0.0,0.94707984,38.787928808979444,0.9938507080078125,0.9988667368888855,0.1324920654296875,0.017341554164886475,629045,0.015622935,0.007361000869423151,0.008074887096881866,0.008241936564445496
87038,advlogo_eps0.9_iter53,0.3461538461538462,0.0,0.9766292,41.31548156381696,0.9969462156295776,0.9990640878677368,0.10537727177143097,0.015543341636657715,586680,0.010173584,0.005123012699186802,0.005115152802318335,0.005138167645782232
174482,advlogo_eps0.9_iter126,0.6551948051948053,0.0,0.958608,37.931142632515,0.9945862293243408,0.9987572431564331,0.11042653769254684,0.017239093780517578,630016,0.0162511,0.008354739286005497,0.008319413289427757,0.00837714783847332
403385,advlogo_eps0.9_iter40,1.0000000000000002,0.0,0.96737295,42.7491144900062,0.995654821395874,0.9992027282714844,0.13905006647109985,0.032039761543273926,589226,0.009222084,0.004689582623541355,0.00467623071745038,0.004687767941504717
6818,advlogo_eps0.9_iter1,0.3333333333333334,0.0,0.9991943,59.41601658510631,0.999900758266449,0.9999765157699585,0.00431943591684103,0.0006872415542602539,51295,0.0004732157,0.00022837283904664218,0.00022525984968524426,0.0002296403399668634
480985,advlogo_eps0.9_iter19,0.7426573426573428,0.0,0.99048644,45.852706658155434,0.99892258644104,0.9997245073318481,0.05464880168437958,0.003941476345062256,529054,0.0064948904,0.0031760463025420904,0.003156517632305622,0.0032067198771983385
458054,advlogo_eps0.9_iter2,0.48311688311688317,0.0,0.99858946,55.6496008761905,0.9998347163200378,0.9999581575393677,0.011238664388656616,0.00031447410583496094,148701,0.0012684264,0.0005873655900359154,0.0005819234647788107,0.0005869909073226154
331352,advlogo_eps0.9_iter8,0.5000000000000001,0.0,0.9920428,49.41819432621395,0.9989988207817078,0.9998680353164673,0.08190429210662842,0.005471587181091309,416715,0.0041185427,0.0020026906859129667,0.0019928482361137867,0.0020126639865338802
