image_id,variant,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2
252219,YOLOv5Model_fgsm_eps0.012_iter3,0.6000000000000002,0.5000000000000001,0.9294506,38.57938092869584,0.9826674461364746,0.9928826689720154,0.22791951894760132,0.06180155277252197,409181,0.020345123,0.01099332608282566,0.011863627471029758,0.011932875961065292
87038,YOLOv5Model_fgsm_eps0.012_iter4,0.6262626262626264,0.49650349650349657,0.92473394,38.42760765166543,0.9760441780090332,0.9805517792701721,0.29754191637039185,0.081412672996521,409437,0.02074698,0.011976012960076332,0.011976489797234535,0.011977937072515488
174482,YOLOv5Model_fgsm_eps0.012_iter5,0.4318181818181819,0.3116883116883117,0.9325962,38.441660314938744,0.9793724417686462,0.9948225617408752,0.2792164087295532,0.05403614044189453,409477,0.020710288,0.011948151513934135,0.011948969215154648,0.011920887976884842
403385,YOLOv5Model_fgsm_eps0.012_iter6,1.0000000000000002,0.5000000000000001,0.9204094,38.418752279665746,0.9776170253753662,0.9809812307357788,0.2417794018983841,0.10030901432037354,409597,0.020777866,0.011995277367532253,0.011996874585747719,0.011990685015916824
6818,YOLOv5Model_fgsm_eps0.012_iter7,1.0000000000000002,0.25000000000000006,0.91413736,38.427337992634364,0.9755389094352722,0.9823977947235107,0.2711375057697296,0.08565175533294678,409600,0.020755595,0.011980128474533558,0.011989173479378223,0.011953797191381454
480985,YOLOv5Model_fgsm_eps0.012_iter8,0.27272727272727276,0.1272727272727273,0.94724274,38.630806074432535,0.9875929355621338,0.9935353398323059,0.201665997505188,0.052950263023376465,402648,0.0200231,0.011457712389528751,0.011475898325443268,0.011492525227367878
331352,YOLOv5Model_fgsm_eps0.012_iter10,0.5000000000000001,0.0,0.91297954,38.46875098325453,0.9763287305831909,0.9869210124015808,0.2927808165550232,0.09046638011932373,407648,0.020590283,0.011859097518026829,0.011865263804793358,0.011874780990183353
348881,YOLOv5Model_fgsm_eps0.012_iter15,0.3333333333333334,0.25000000000000006,0.93039864,38.57085619823621,0.9816984534263611,0.9895474910736084,0.284715861082077,0.08785295486450195,405006,0.020246662,0.011637802235782146,0.011589264497160912,0.011606480926275253
289393,YOLOv5Model_fgsm_eps0.012_iter16,0.25000000000000006,0.1666666666666667,0.92438895,38.49175791197819,0.9812948703765869,0.9865900874137878,0.2511904835700989,0.06085938215255737,409558,0.020585714,0.011581163853406906,0.011956269852817059,0.011929282918572426
181666,YOLOv5Model_fgsm_eps0.012_iter18,0.6818181818181819,0.58989898989899,0.91914624,38.537431102172086,0.9749791026115417,0.9848703742027283,0.3119395077228546,0.09981465339660645,407106,0.020382734,0.011726455762982368,0.011684995144605637,0.011675150133669376
17627,YOLOv5Model_fgsm_eps0.012_iter19,0.2954545454545455,0.27272727272727276,0.923487,38.44532563573811,0.978363037109375,0.9885615706443787,0.27400892972946167,0.07018887996673584,409568,0.02070397,0.011869456619024277,0.011973490938544273,0.011966812424361706
