image_id,variant,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2,delta_R,delta_G,delta_B
397133,advlogo_eps0.09_iter4,0.29752066115702486,0.29090909090909095,0.999949,67.2972514872819,0.9999939799308777,0.999995768070221,0.0005403888644650578,4.845857620239258e-05,8338,0.00010171001,4.466337486519478e-05,4.4002757931593806e-05,4.4835709559265524e-05
37777,advlogo_eps0.09_iter4,0.6704545454545456,0.6262626262626263,0.99994344,67.35539684541291,0.9999939799308777,0.9999949932098389,0.00032766227377578616,6.222724914550781e-05,7855,9.778073e-05,4.393574272398837e-05,4.3169809941900894e-05,4.3198528146604076e-05
252219,advlogo_eps0.09_iter11,0.6000000000000002,0.5714285714285715,0.9997132,58.48132337332614,0.999968409538269,0.999957799911499,0.0010439703473821282,0.0002492666244506836,37317,0.0005422853,0.00024361407849937677,0.0002493776846677065,0.0002497510868124664
87038,advlogo_eps0.09_iter11,0.6190476190476192,0.5217893217893219,0.9996867,58.092694410632085,0.9999629855155945,0.9999536275863647,0.0012824232690036297,0.00028896331787109375,46893,0.0006538563,0.0002978611446451396,0.0002994217211380601,0.0002978707489091903
174482,advlogo_eps0.09_iter7,0.38068181818181823,0.34036796536796543,0.99994326,61.37384929990389,0.9999936819076538,0.9999880790710449,0.00020395695173647255,1.1563301086425781e-05,18191,0.00026673567,0.00012130435789003968,0.0001217256358359009,0.000119657619507052
403385,advlogo_eps0.09_iter2,1.0000000000000002,0.6666666666666669,0.9999857,73.47951202511365,0.9999983310699463,0.9999988675117493,9.61775949690491e-05,7.62939453125e-06,1515,2.0433707e-05,9.181603672914207e-06,9.373085049446672e-06,9.267770110454876e-06
6818,advlogo_eps0.09_iter4,1.0000000000000002,0.5000000000000001,0.9999407,67.26094037494478,0.9999935030937195,0.999993622303009,0.00031596142798662186,1.8358230590820312e-05,6500,8.6956294e-05,3.979971006629057e-05,3.9062499126885086e-05,3.956035652663559e-05
480985,advlogo_eps0.09_iter4,0.46363636363636374,0.4303030303030304,0.9999661,66.66881880936059,0.9999960660934448,0.9999964237213135,0.00024657088215462863,2.384185791015625e-06,8936,0.00011202034,4.964190520695411e-05,4.8531306674703956e-05,4.988125874660909e-05
331352,advlogo_eps0.09_iter5,0.5000000000000001,0.3333333333333334,0.9998831,66.47965065141409,0.999985933303833,0.9999908208847046,0.0017609584610909224,0.0001188516616821289,8422,0.000109463566,5.019723539589904e-05,4.935470860800706e-05,5.020679600420408e-05
296649,advlogo_eps0.09_iter1,0.31818181818181823,0.30303030303030304,0.99999684,80.86983772771117,0.9999997615814209,0.9999998211860657,1.0991983799613081e-05,8.344650268554688e-07,374,4.524035e-06,2.0488664631557185e-06,2.0009956642752513e-06,1.8861059061237029e-06
